קבוצה,רישוי,קילומטרז'
6 נוסעים,11830404,175007
8 נוסעים,11924302,479001
8 נוסעים,11924402,465001
8 נוסעים,12018902,150446
8 נוסעים,12019102,202331
8 נוסעים,12019602,126042
4 נוסעים,12192703,268435
4 נוסעים,12192803,258881
4 נוסעים,12192903,239572
4 נוסעים,12193003,264851
4 נוסעים,12193103,225280
4 נוסעים,15574602,294437
8 נוסעים,16525502,216047
8 נוסעים,16525702,258698
8 נוסעים,16526002,255642
8 נוסעים,16526102,278140
8 נוסעים,16526302,307412
8 נוסעים,16526402,2601036
14 נוסעים,17829802,372592
4 נוסעים,19517401,414601
14 נוסעים,19899303,191624
14 נוסעים,19899503,212845
16 נוסעים,20614803,178191
4 נוסעים,20772801,453748
8 נוסעים,24801403,187264
8 נוסעים,24801503,163659
8 נוסעים,24801603,212502
4 נוסעים,2622184,481836
4 נוסעים,2622584,446363
4 נוסעים,2622684,510921
4 נוסעים,2622984,394614
4 נוסעים,2623084,473076
4 נוסעים,2623284,433150
4 נוסעים,2623484,443376
4 נוסעים,2888933,415541
4 נוסעים,2912833,311490
14 נוסעים,34112603,176372
14 נוסעים,34117103,220033
14 נוסעים,34130603,207922
14 נוסעים,34163403,162800
20 נוסעים,41331103,227126
20 נוסעים,41331203,188996
20 נוסעים,41331303,211029
20 נוסעים,41634403,218989
20 נוסעים,41634503,183084
14 נוסעים,48604403,198480
14 נוסעים,48605603,167172
14 נוסעים,48631903,219774
20 נוסעים,48655403,127951
20 נוסעים,48655803,148981
20 נוסעים,48656203,108903
20 נוסעים,48656803,118888
19 נוסעים,48661703,116958
20 נוסעים,48667103,37225
20 נוסעים,48669303,114989
4 נוסעים,5295384,449609
מונית 4 נוסעים,5351226,123102
מונית 4 נוסעים,5351326,178649
תא כפול סגור טנדר,53646102,173362
תא כפול סגור טנדר,53646202,210880
תא כפול סגור טנדר,53646302,173519
14 נוסעים,54044301,476621
4 נוסעים,58615601,395439
מונית 4 נוסעים,5968726,94622
מונית 4 נוסעים,5968826,106128
מונית 4 נוסעים,5968926,101553
מונית 4 נוסעים,5969026,78600
4 נוסעים,59260103,112398
4 נוסעים,59260203,118839
4 נוסעים,59260303,117935
4 נוסעים,59260503,121326
4 נוסעים,59260603,90692
4 נוסעים,59260703,112149
4 נוסעים,59260803,115505
4 נוסעים,59260903,146928
4 נוסעים,59261003,99953
20 נוסעים,62916303,76304
20 נוסעים,62941103,53061
19 נוסעים,62942803,46977
20 נוסעים,62955203,48454
20 נוסעים,62955303,107598
7 נוסעים,62997703,27545
6 נוסעים,62997903,22304
מונית 4 נוסעים,6430626,99482
16 נוסעים,66313501,294178
14 נוסעים,66980401,343477
14 נוסעים,67002101,411030
20 נוסעים,67337102,260093
20 נוסעים,67337302,363161
4 נוסעים,6912412,351860
תא כפול משאית,69731103,32605
4 נוסעים,71530402,317117
4 נוסעים,71530502,9747
4 נוסעים,71530602,338836
4 נוסעים,71530702,258901
4 נוסעים,71530802,298296
4 נוסעים,7324984,423193
4 נוסעים,7587684,509556
תא כפול משאית,75438703,21852
13 נוסעים,7698369,180097
תא כפול פתוח טנדר,77719603,48850
תא כפול פתוח טנדר,77719703,40034
תא כפול פתוח טנדר,77719803,40730
13 נוסעים,7821369,137596
7 נוסעים,78606103,54746
7 נוסעים,78606203,63722
7 נוסעים,78606303,56907
7 נוסעים,78606403,47150
7 נוסעים,78609203,17576
7 נוסעים,78639203,26852
4 נוסעים,7903784,311031
4 נוסעים,7903884,322850
4 נוסעים,83158002,266115
4 נוסעים,83158102,212212
4 נוסעים,83158302,272357
4 נוסעים,83158402,260205
תא כפול פתוח טנדר,84567003,31918
תא כפול פתוח טנדר,84567103,32420
תא כפול פתוח טנדר,84567203,27238
תא כפול פתוח טנדר,84567303,22072
תא כפול פתוח טנדר,84567403,21694
תא כפול פתוח טנדר,84567503,25326
תא כפול פתוח טנדר,84567603,25156
4 נוסעים,8580837,407928
20 נוסעים,85211202,286449
14 נוסעים,85214302,316877
14 נוסעים,85214502,269428
14 נוסעים,85214602,347041
14 נוסעים,85214702,367683
14 נוסעים,85214902,314723
10 נוסעים,8613954,749383
10 נוסעים,8756154,826782
4 נוסעים,90319901,382758
4 נוסעים,91051701,414150
8 נוסעים,91668801,312371
4 נוסעים,92080301,422500
